time/s,<Ewe>/V,<I>/mA,cycle number,Tech
0.0,0.41121524572372437,0.0,0,0
7.200000254670158e-05,0.5978594422340393,4.219147205352783,0,0
9.600000339560211e-05,1.3299195766448975,19.864906311035156,0,0
0.00012000000424450263,1.5024330615997314,22.432086944580078,0,0
0.0001680000059423037,1.5508521795272827,19.97479820251465,0,0
0.00019200000679120421,1.5171831846237183,17.135942459106445,0,0
0.00021600000764010474,1.4896067380905151,14.107828140258789,0,0
0.00024000000848900527,1.5085254907608032,12.425883293151855,0,0
0.0002640000093379058,1.5001883506774902,10.539417266845703,0,0
0.0002880000101868063,1.4796663522720337,9.138304710388184,0,0
0.0003360000118846074,1.4697259664535522,7.9111857414245605,0,0
0.00040800001443130895,1.468764066696167,6.6901726722717285,0,0
0.00048000001697801054,1.4674813747406006,5.5897345542907715,0,0
0.0005760000203736126,1.4655574560165405,4.512190341949463,0,0
0.0007200000254670158,1.4636335372924805,3.4834866523742676,0,0
0.0009360000331071205,1.4617096185684204,2.3922059535980225,0,0
0.001320000046689529,1.4610682725906372,1.3772385120391846,0,0
0.009192000325128902,1.4597855806350708,0.3760075271129608,0,0
0.1000080035373685,1.4594649076461792,0.24016980826854706,0,0
0.200016007074737,1.460426926612854,0.22490714490413666,0,0
0.3000240106121055,1.4597855806350708,0.21422326564788818,0,0
0.400032014149474,1.460426926612854,0.21269699931144714,0,0
0.5000400176868425,1.4591443538665771,0.2111707329750061,0,0
0.600048021224211,1.4607475996017456,0.20964446663856506,0,0
0.7000560247615795,1.4594649076461792,0.20964446663856506,0,0
0.800064028298948,1.4597855806350708,0.2035394012928009,0,0
0.9000720318363165,1.4588236808776855,0.2035394012928009,0,0
1.000080035373685,1.4591443538665771,0.20048688352108002,0,0
1.1000880389110534,1.4591443538665771,0.19743433594703674,0,0
1.200096042448422,1.460426926612854,0.20048688352108002,0,0
1.3001040459857904,1.4591443538665771,0.20201313495635986,0,0
1.400112049523159,1.4594649076461792,0.20811821520328522,0,0
1.5001200530605274,1.4607475996017456,0.2035394012928009,0,0
1.600128056597896,1.4591443538665771,0.19896060228347778,0,0
1.7001360601352644,1.4601062536239624,0.1959080696105957,0,0
1.800144063672633,1.460426926612854,0.19743433594703674,0,0
1.9001520672100014,1.4601062536239624,0.20048688352108002,0,0
2.00016007074737,1.4591443538665771,0.1959080696105957,0,0
2.1001680742847384,1.4597855806350708,0.19896060228347778,0,0
2.200176077822107,1.4594649076461792,0.19743433594703674,0,0
2.3001840813594754,1.460426926612854,0.1959080696105957,0,0
2.400192084896844,1.4588236808776855,0.19743433594703674,0,0
2.5002000884342124,1.4601062536239624,0.19743433594703674,0,0
2.600208091971581,1.4591443538665771,0.1959080696105957,0,0
2.7002160955089494,1.4601062536239624,0.19285552203655243,0,0
2.800224099046318,1.4597855806350708,0.1959080696105957,0,0
2.9002321025836864,1.4591443538665771,0.19438180327415466,0,0
3.000240106121055,1.4594649076461792,0.19438180327415466,0,0
3.1002481096584233,1.4601062536239624,0.19285552203655243,0,0
3.200256113195792,1.460426926612854,0.19438180327415466,0,0
3.3002641167331603,1.4597855806350708,0.19285552203655243,0,0
3.400272120270529,1.4607475996017456,0.1959080696105957,0,0
3.5002801238078973,1.4601062536239624,0.19438180327415466,0,0
3.600288127345266,1.4594649076461792,0.19438180327415466,0,0
3.7002961308826343,1.4591443538665771,0.19743433594703674,0,0
3.800304134420003,1.4597855806350708,0.19438180327415466,0,0
3.9003121379573713,1.4601062536239624,0.19743433594703674,0,0
4.00032014149474,1.4601062536239624,0.19438180327415466,0,0
4.100328145032108,1.4594649076461792,0.19285552203655243,0,0
4.200336148569477,1.4594649076461792,0.18980300426483154,0,0
4.300344152106845,1.460426926612854,0.18980300426483154,0,0
4.400352155644214,1.4597855806350708,0.19438180327415466,0,0
4.500360159181582,1.4597855806350708,0.19438180327415466,0,0
4.600368162718951,1.4607475996017456,0.19438180327415466,0,0
4.700376166256319,1.4594649076461792,0.19132927060127258,0,0
4.800384169793688,1.4601062536239624,0.1959080696105957,0,0
4.900392173331056,1.4601062536239624,0.19132927060127258,0,0
5.000400176868425,1.4597855806350708,0.19132927060127258,0,0
5.100408180405793,1.460426926612854,0.19438180327415466,0,0
5.200416183943162,1.4594649076461792,0.19132927060127258,0,0
5.30042418748053,1.4597855806350708,0.19438180327415466,0,0
5.400432191017899,1.460426926612854,0.19132927060127258,0,0
5.500440194555267,1.4597855806350708,0.18980300426483154,0,0
5.600448198092636,1.460426926612854,0.19285552203655243,0,0
5.700456201630004,1.4597855806350708,0.19132927060127258,0,0
5.800464205167373,1.4597855806350708,0.19285552203655243,0,0
5.900472208704741,1.460426926612854,0.19438180327415466,0,0
6.00048021224211,1.4597855806350708,0.19438180327415466,0,0
6.100488215779478,1.460426926612854,0.1959080696105957,0,0
6.200496219316847,1.4594649076461792,0.19438180327415466,0,0
6.300504222854215,1.4588236808776855,0.20048688352108002,0,0
6.400512226391584,1.4610682725906372,0.19743433594703674,0,0
6.500520229928952,1.4591443538665771,0.19743433594703674,0,0
6.600528233466321,1.4597855806350708,0.19438180327415466,0,0
6.700536237003689,1.458503007888794,0.1959080696105957,0,0
6.800544240541058,1.4591443538665771,0.18980300426483154,0,0
6.900552244078426,1.4601062536239624,0.19438180327415466,0,0
7.000560247615795,1.4601062536239624,0.19438180327415466,0,0
7.100568251153163,1.4601062536239624,0.19438180327415466,0,0
7.200576254690532,1.4591443538665771,0.1882767379283905,0,0
7.3005842582279,1.4594649076461792,0.19743433594703674,0,0
7.400592261765269,1.4597855806350708,0.19132927060127258,0,0
7.500600265302637,1.4601062536239624,0.1959080696105957,0,0
7.600608268840006,1.460426926612854,0.1959080696105957,0,0
7.700616272377374,1.4597855806350708,0.19743433594703674,0,0
7.800624275914743,1.4601062536239624,0.19438180327415466,0,0
7.900632279452111,1.4594649076461792,0.19438180327415466,0,0
8.00064028298948,1.4594649076461792,0.1959080696105957,0,0
8.100648286526848,1.4601062536239624,0.19743433594703674,0,0
8.200656290064217,1.4591443538665771,0.19132927060127258,0,0
8.300664293601585,1.4594649076461792,0.19743433594703674,0,0
8.400672297138954,1.4591443538665771,0.19285552203655243,0,0
8.500680300676322,1.4597855806350708,0.19438180327415466,0,0
8.60068830421369,1.460426926612854,0.19285552203655243,0,0
8.700696307751059,1.4594649076461792,0.19285552203655243,0,0
8.800704311288428,1.4591443538665771,0.1882767379283905,0,0
8.900712314825796,1.4597855806350708,0.19285552203655243,0,0
9.000720318363165,1.4591443538665771,0.18675047159194946,0,0
9.100728321900533,1.4617096185684204,0.19743433594703674,0,0
9.200736325437902,1.4597855806350708,0.19743433594703674,0,0
9.30074432897527,1.4594649076461792,0.19438180327415466,0,0
9.400752332512639,1.4591443538665771,0.19132927060127258,0,0
9.500760336050007,1.4591443538665771,0.19132927060127258,0,0
9.600768339587376,1.460426926612854,0.19285552203655243,0,0
9.700776343124744,1.4591443538665771,0.19438180327415466,0,0
9.800784346662113,1.4594649076461792,0.19438180327415466,0,0
9.900792350199481,1.4591443538665771,0.19132927060127258,0,0
10.00080035373685,1.4594649076461792,0.19285552203655243,0,0
10.100808357274218,1.4607475996017456,0.19132927060127258,0,0
10.200816360811586,1.4601062536239624,0.19743433594703674,0,0
10.300824364348955,1.4597855806350708,0.19285552203655243,0,0
10.400832367886323,1.4588236808776855,0.1959080696105957,0,0
10.500840371423692,1.4588236808776855,0.1959080696105957,0,0
10.60084837496106,1.4591443538665771,0.1959080696105957,0,0
10.700856378498429,1.4601062536239624,0.19438180327415466,0,0
10.800864382035797,1.460426926612854,0.19743433594703674,0,0
10.900872385573166,1.4594649076461792,0.19285552203655243,0,0
11.000880389110534,1.4594649076461792,0.20048688352108002,0,0
11.100888392647903,1.4601062536239624,0.18980300426483154,0,0
11.200896396185271,1.4591443538665771,0.1959080696105957,0,0
11.30090439972264,1.460426926612854,0.19438180327415466,0,0
11.400912403260008,1.4597855806350708,0.19285552203655243,0,0
11.500920406797377,1.4591443538665771,0.18980300426483154,0,0
11.600928410334745,1.4610682725906372,0.19285552203655243,0,0
11.700936413872114,1.4594649076461792,0.19285552203655243,0,0
11.800944417409482,1.4591443538665771,0.19285552203655243,0,0
11.900952420946851,1.4594649076461792,0.19743433594703674,0,0
12.00096042448422,1.4591443538665771,0.1882767379283905,0,0
12.100968428021588,1.4591443538665771,0.19285552203655243,0,0
12.200976431558956,1.4601062536239624,0.19438180327415466,0,0
12.300984435096325,1.4591443538665771,0.19132927060127258,0,0
12.400992438633693,1.4607475996017456,0.19438180327415466,0,0
12.501000442171062,1.4597855806350708,0.19743433594703674,0,0
12.60100844570843,1.4597855806350708,0.19438180327415466,0,0
12.701016449245799,1.4597855806350708,0.19438180327415466,0,0
12.801024452783167,1.4588236808776855,0.18980300426483154,0,0
12.901032456320536,1.4594649076461792,0.19132927060127258,0,0
13.001040459857904,1.4601062536239624,0.19743433594703674,0,0
13.101048463395273,1.460426926612854,0.1959080696105957,0,0
