t,Ewe,Ece
0.004000000189989805,-0.011463746428489685,0.00019898696336895227
0.5770000219345093,-0.012105059809982777,0.00022761384025216103
0.5770000219345093,-0.011463746428489685,-7.769694639137015e-05
0.5770000219345093,-0.011143089272081852,-1.3692479114979506e-06
0.5770000219345093,-0.011784402653574944,-7.769694639137015e-05
0.5770000219345093,-0.011143089272081852,7.495845056837425e-05
1.0820000171661377,-0.011143089272081852,-1.3692479114979506e-06
1.0820000171661377,-0.010822432115674019,-1.3692479114979506e-06
1.0820000171661377,-0.009539803490042686,-1.3692479114979506e-06
1.0820000171661377,-0.011143089272081852,-1.3692479114979506e-06
1.0820000171661377,-0.010822432115674019,-0.00015402464487124234
1.5859999656677246,-0.011143089272081852,-0.00023035235062707216
1.5859999656677246,-0.011463746428489685,-0.00023035235062707216
1.5859999656677246,-0.011143089272081852,-7.769694639137015e-05
1.5859999656677246,-0.011463746428489685,-7.769694639137015e-05
1.5859999656677246,-0.010822432115674019,-0.00015402464487124234
2.0910000801086426,-0.010822432115674019,-7.769694639137015e-05
2.0910000801086426,-0.012105059809982777,-0.00015402464487124234
2.0910000801086426,-0.011143089272081852,7.495845056837425e-05
2.0910000801086426,-0.011784402653574944,-7.769694639137015e-05
2.0910000801086426,-0.011143089272081852,-0.00015402464487124234
2.5959999561309814,-0.010822432115674019,7.495845056837425e-05
2.5959999561309814,-0.011143089272081852,7.495845056837425e-05
2.5959999561309814,-0.010501774959266186,-7.769694639137015e-05
2.5959999561309814,-0.011143089272081852,-7.769694639137015e-05
2.5959999561309814,-0.010822432115674019,7.495845056837425e-05
3.1000001430511475,-0.011463746428489685,7.495845056837425e-05
3.1000001430511475,-0.01242571696639061,7.495845056837425e-05
3.1000001430511475,-0.010822432115674019,0.00022761384025216103
3.1000001430511475,-0.011463746428489685,-0.00023035235062707216
3.1000001430511475,-0.011143089272081852,-1.3692479114979506e-06
3.1000001430511475,-0.011143089272081852,-1.3692479114979506e-06
3.6040000915527344,-0.011463746428489685,0.00015128614904824644
3.6040000915527344,-0.011463746428489685,-7.769694639137015e-05
3.6040000915527344,-0.011143089272081852,-1.3692479114979506e-06
3.6040000915527344,-0.011784402653574944,7.495845056837425e-05
