t,Ewe,I,cycle
180.88099670410156,-0.010830171406269073,0.0,0
180.88099670410156,0.274530291557312,5.875146389007568,0
180.88099670410156,1.2243164777755737,25.02674102783203,0
180.88099670410156,1.3695740699768066,26.78652572631836,0
180.88099670410156,1.448776364326477,24.556652069091797,0
180.88099670410156,1.4603201150894165,23.334110260009766,0
180.88099670410156,1.528299331665039,21.195810317993164,0
180.88099670410156,1.561647653579712,19.790119171142578,0
180.88099670410156,1.5667781829833984,18.54010772705078,0
180.88099670410156,1.5763978958129883,16.955842971801758,0
180.88099670410156,1.5940340757369995,15.769932746887207,0
180.88099670410156,1.4497383832931519,11.848954200744629,0
180.88099670410156,1.367329478263855,8.60869026184082,0
180.88099670410156,1.4513416290283203,10.511944770812988,0
180.88099670410156,1.4702603816986084,9.293984413146973,0
180.88099670410156,1.465771198272705,8.237807273864746,0
180.88099670410156,1.4622440338134766,7.213682174682617,0
180.88099670410156,1.4612820148468018,6.174294471740723,0
180.88099670410156,1.461923360824585,5.168485164642334,0
180.88099670410156,1.4612820148468018,4.1672539710998535,0
180.88099670410156,1.4612820148468018,3.1507604122161865,0
180.88099670410156,1.4603201150894165,2.138845682144165,0
180.88099670410156,1.459999442100525,1.1345621347427368,0
180.88099670410156,1.459999442100525,0.3225882053375244,0
180.88099670410156,1.4606406688690186,0.29664167761802673,0
180.88099670410156,1.4606406688690186,0.2768002152442932,0
180.88099670410156,1.4596787691116333,0.25848498940467834,0
180.88099670410156,1.459999442100525,0.24627487361431122,0
180.88099670410156,1.4603201150894165,0.23253847658634186,0
180.88099670410156,1.4603201150894165,0.22185459733009338,0
180.88099670410156,1.4603201150894165,0.21269699931144714,0
181.38699340820312,1.459999442100525,0.20811821520328522,0
181.38699340820312,1.4593580961227417,0.1959080696105957,0
181.38699340820312,1.4603201150894165,0.1959080696105957,0
181.38699340820312,1.4603201150894165,0.18980300426483154,0
181.38699340820312,1.459999442100525,0.1806454062461853,0
181.89199829101562,1.4596787691116333,0.17454034090042114,0
181.89199829101562,1.4603201150894165,0.16233019530773163,0
181.89199829101562,1.459999442100525,0.1653827428817749,0
181.89199829101562,1.459999442100525,0.1608039289712906,0
181.89199829101562,1.4596787691116333,0.15622512996196747,0
182.39700317382812,1.459999442100525,0.1531725972890854,0
182.39700317382812,1.4596787691116333,0.14401499927043915,0
182.39700317382812,1.4606406688690186,0.14859379827976227,0
182.39700317382812,1.459999442100525,0.14859379827976227,0
182.39700317382812,1.4603201150894165,0.1424887329339981,0
182.90200805664062,1.459999442100525,0.13943620026111603,0
182.90200805664062,1.4593580961227417,0.1348574012517929,0
182.90200805664062,1.45903742313385,0.13180486857891083,0
182.90200805664062,1.4603201150894165,0.1272260695695877,0
182.90200805664062,1.4609613418579102,0.12569980323314667,0
183.40699768066406,1.459999442100525,0.12875233590602875,0
183.40699768066406,1.4603201150894165,0.12569980323314667,0
183.40699768066406,1.4596787691116333,0.12112099677324295,0
183.40699768066406,1.4606406688690186,0.11348966509103775,0
183.40699768066406,1.45903742313385,0.11501593887805939,0
