time/s,<Ewe>/V,<I>/mA,freq/Hz,Re(Z)/Ohm,-Im(Z)/Ohm,Tech
180.36199951171875,1.4603848457336426,0.20802368223667145,20015.62109375,0.03730005332460189,-0.006477395380084063,1
180.66299438476562,1.4595602750778198,0.1937917023897171,20015.62109375,0.0375125689867473,-0.006525623949237715,1
180.96400451660156,1.4595650434494019,0.18908284604549408,20015.62109375,0.037469696824576126,-0.006473673299870219,1
181.26499938964844,1.4595619440078735,0.18598449230194092,20015.62109375,0.03751883376697942,-0.0062707162095934025,1
181.5659942626953,1.4595675468444824,0.18387842178344727,20015.62109375,0.03746839585309402,-0.0064731322866735524,1
181.86700439453125,1.459563136100769,0.18225303292274475,20015.62109375,0.03752026494393742,-0.006399517289295398,1
182.16799926757812,1.45956552028656,0.18050244450569153,20015.62109375,0.03765746404728547,-0.00629521980715979,1
182.468994140625,1.4595682621002197,0.17949971556663513,20015.62109375,0.03752733615088232,-0.006229068139676551,1
182.77000427246094,1.4595657587051392,0.1784798502922058,20015.62109375,0.03752959387092737,-0.006286242986170063,1
183.0709991455078,1.459563136100769,0.17758330702781677,20015.62109375,0.03740568194537452,-0.006216268294831553,1
183.3719940185547,1.45957612991333,0.1773388683795929,20015.62109375,0.03769808963281903,-0.00619418882156273,1
183.67300415039062,1.4595611095428467,0.17782625555992126,20015.62109375,0.0376407056553985,-0.006334556731599945,1
183.9739990234375,1.4595688581466675,0.17837253212928772,20015.62109375,0.03759527552672963,-0.006186916586570572,1
184.27499389648438,1.4598655700683594,0.18079160153865814,20015.62109375,0.0377569423349428,-0.0063304646092148505,1
184.5760040283203,1.459566593170166,0.17978626489639282,20015.62109375,0.03759622196921547,-0.0062328232367704905,1
184.8769989013672,1.4595621824264526,0.17918597161769867,20015.62109375,0.03773103051680105,-0.006318365399315434,1
185.17799377441406,1.4595733880996704,0.1792265772819519,20015.62109375,0.03763233257588434,-0.006440186514958554,1
185.47900390625,1.4595637321472168,0.17903952300548553,20015.62109375,0.037709235861911335,-0.006187480915339509,1
185.77999877929688,1.4595677852630615,0.17898064851760864,20015.62109375,0.03760109897064238,-0.006232466552140368,1
186.08099365234375,1.4595799446105957,0.17875148355960846,20015.62109375,0.03771022796193043,-0.006105863962491566,1
186.3820037841797,1.4595646858215332,0.17870192229747772,20015.62109375,0.03779187771822924,-0.006287045027200855,1
186.68299865722656,1.459566593170166,0.1786154806613922,20015.62109375,0.037767503396542335,-0.006143149095407482,1
186.9840087890625,1.4595657587051392,0.17840717732906342,20015.62109375,0.03774999584493763,-0.006176332063082508,1
187.28500366210938,1.4595710039138794,0.17827750742435455,20015.62109375,0.03777917215879924,-0.0062210514680818415,1
187.58599853515625,1.4595693349838257,0.17885097861289978,20015.62109375,0.03778121164112107,-0.006245648539013846,1
187.8870086669922,1.4595656394958496,0.179881289601326,20015.62109375,0.03770586563555101,-0.0062723359387354,1
188.18800354003906,1.4595692157745361,0.180916428565979,20015.62109375,0.03774551850955896,-0.006174560009540779,1
188.48899841308594,1.459572196006775,0.18173620104789734,20015.62109375,0.037727407194858516,-0.0061631793247290696,1
188.79000854492188,1.4595675468444824,0.1813661903142929,20015.62109375,0.037859726857247714,-0.006343851249901556,1
189.09100341796875,1.4595649242401123,0.1809834986925125,20015.62109375,0.037774310304770936,-0.0062560920156644615,1
189.39199829101562,1.4595805406570435,0.1809656172990799,20015.62109375,0.03771554239879043,-0.006275746496630554,1
189.69300842285156,1.45957612991333,0.1809130758047104,20015.62109375,0.03768003906856919,-0.006242048152751766,1
189.99400329589844,1.4595696926116943,0.1806846559047699,20015.62109375,0.03773401251951727,-0.006285241100848399,1
190.2949981689453,1.4595763683319092,0.1803899109363556,20015.62109375,0.03772888929136229,-0.006096410345638962,1
190.59600830078125,1.4595646858215332,0.18010447919368744,20015.62109375,0.03779099554778738,-0.006188752877364737,1
190.89700317382812,1.4595586061477661,0.17976130545139313,20015.62109375,0.03780303984465813,-0.006147807620107103,1
191.197998046875,1.459564208984375,0.17962007224559784,20015.62109375,0.03782200707542554,-0.0061329208016111395,1
191.49900817871094,1.459572434425354,0.17994016408920288,20015.62109375,0.03790227159185755,-0.006113359990983127,1
191.8000030517578,1.4595630168914795,0.18066677451133728,20015.62109375,0.03782544155649276,-0.006267714091611403,1
192.1009979248047,1.459574580192566,0.18140418827533722,20015.62109375,0.0378965978226415,-0.006195656168214969,1
192.40200805664062,1.4595730304718018,0.18237674236297607,20015.62109375,0.037801057246003675,-0.0060498916332702105,1
192.7030029296875,1.459568738937378,0.18220458924770355,20015.62109375,0.037810994307921474,-0.006258629459586585,1
193.00399780273438,1.459564208984375,0.18149176239967346,20015.62109375,0.03783042686035139,-0.0062548962746322035,1
193.3050079345703,1.4595661163330078,0.18132668733596802,20015.62109375,0.03797094857489304,-0.00625728270831916,1
193.6060028076172,1.4595670700073242,0.1812618523836136,20015.62109375,0.03786396635316702,-0.006238046495565668,1
193.90699768066406,1.4595677852630615,0.1807565689086914,20015.62109375,0.037789205711064,-0.00607800339374081,1
194.2080078125,1.4595729112625122,0.18052181601524353,20015.62109375,0.0377418038544736,-0.0061627180895365615,1
194.50900268554688,1.4595699310302734,0.18018050491809845,20015.62109375,0.037798184648944244,-0.0061056378008496155,1
194.80999755859375,1.4595857858657837,0.1795615702867508,20015.62109375,0.03783454405832467,-0.006088195546786569,1
195.1110076904297,1.4595766067504883,0.17942146956920624,20015.62109375,0.03783194619572495,-0.0060672436486925215,1
195.41200256347656,1.4595707654953003,0.17933389544487,20015.62109375,0.0377649576866309,-0.005973777367799123,1
195.71299743652344,1.459571123123169,0.17968565225601196,20015.62109375,0.03780937978541042,-0.006165191923550017,1
196.01400756835938,1.4595801830291748,0.18069136142730713,20015.62109375,0.03792523245054632,-0.006203716936218669,1
196.31500244140625,1.4595743417739868,0.18136246502399445,20015.62109375,0.03794187617442777,-0.0060959759943363095,1
196.61599731445312,1.4595714807510376,0.1814742535352707,20015.62109375,0.03793368201320199,-0.006121321464093453,1
196.91700744628906,1.4595738649368286,0.1809607744216919,20015.62109375,0.037753111354956584,-0.006188824642008744,1
197.21800231933594,1.4595746994018555,0.18063472211360931,20015.62109375,0.03784626105190305,-0.006124315571377667,1
197.5189971923828,1.4595786333084106,0.18040892481803894,20015.62109375,0.03777609438517479,-0.006157739555878683,1
197.82000732421875,1.4595717191696167,0.18010522425174713,20015.62109375,0.037962960260470954,-0.006085924611872737,1
198.12100219726562,1.4595659971237183,0.17977136373519897,20015.62109375,0.037806331147409174,-0.006180944882369405,1
198.4219970703125,1.4595730304718018,0.1794542521238327,20015.62109375,0.03784810427632225,-0.00607573105152072,1
198.72300720214844,1.4595712423324585,0.1789262443780899,20015.62109375,0.037961763057126764,-0.006091943435609955,1
199.0240020751953,1.4595725536346436,0.17837849259376526,20015.62109375,0.037887271817217884,-0.006040209206256345,1
199.3249969482422,1.4595708847045898,0.17828086018562317,20015.62109375,0.03793251948373141,-0.00621234767669999,1
199.62600708007812,1.459567904472351,0.17863038182258606,20015.62109375,0.03788878386219675,-0.006028316354787047,1
199.927001953125,1.4595668315887451,0.17908088862895966,20015.62109375,0.03791230168042878,-0.005988551190505037,1
200.22799682617188,1.4595732688903809,0.17996959388256073,20015.62109375,0.03782308783114606,-0.006183698315329213,1
200.5290069580078,1.4595791101455688,0.1803448349237442,20015.62109375,0.0379677038302989,-0.0060331325524245714,1
200.8300018310547,1.4595749378204346,0.17953623831272125,20015.62109375,0.0378445387945957,-0.0061680963692164826,1
201.13099670410156,1.4595736265182495,0.17919155955314636,20015.62109375,0.03783414669831824,-0.006159026107538938,1
201.4320068359375,1.4595673084259033,0.1790875941514969,20015.62109375,0.037957621275651415,-0.006148458447324845,1
201.73300170898438,1.4595683813095093,0.1786646693944931,20015.62109375,0.038024143438805336,-0.006075477596454103,1
202.03399658203125,1.4595657587051392,0.17830993235111237,20015.62109375,0.037911116383475746,-0.00611652081560457,1
202.3350067138672,1.459567666053772,0.1782253384590149,20015.62109375,0.037916849100686816,-0.00612883644734172,1
202.63600158691406,1.4595617055892944,0.17773199081420898,20015.62109375,0.03810540207315932,-0.006150262222315744,1
202.93699645996094,1.4595699310302734,0.1772274523973465,20015.62109375,0.03791512650206345,-0.006134364831417897,1
203.23800659179688,1.459571361541748,0.17726099491119385,20015.62109375,0.037968433753364055,-0.006049662999872887,1
203.53900146484375,1.4595677852630615,0.17723415791988373,20015.62109375,0.03805200016114689,-0.0061346431877688104,1
203.83999633789062,1.459578275680542,0.1776447892189026,20015.62109375,0.03792816585487799,-0.006054162158971603,1
204.14100646972656,1.4595677852630615,0.17870454490184784,20015.62109375,0.037878957359065414,-0.006180718603205687,1
204.44200134277344,1.4595619440078735,0.17905516922473907,20015.62109375,0.03792850306959745,-0.006098537516022757,1
204.7429962158203,1.4595681428909302,0.17878390848636627,20015.62109375,0.03803183966197658,-0.006012124273861652,1
205.04400634765625,1.4595664739608765,0.17845413088798523,20015.62109375,0.038000178449460686,-0.005997661438152066,1
205.34500122070312,1.4595706462860107,0.17812176048755646,20015.62109375,0.03788134648526684,-0.006077155010048649,1
205.64599609375,1.4595662355422974,0.17805616557598114,20015.62109375,0.03802966277191606,-0.006095390242623052,1
205.94700622558594,1.4595650434494019,0.17755126953125,20015.62109375,0.03802627117916355,-0.006068291370943247,1
206.2480010986328,1.4595662355422974,0.17710746824741364,20015.62109375,0.03803045502958001,-0.0061233230538228,1
206.5489959716797,1.459567666053772,0.17704859375953674,20015.62109375,0.038048946208452686,-0.006137678376644991,1
206.85000610351562,1.4595706462860107,0.17649972438812256,20015.62109375,0.038018796456063327,-0.006069208577009563,1
207.1510009765625,1.4595681428909302,0.1762336641550064,20015.62109375,0.03807559260440302,-0.0061204722556199905,1
207.45199584960938,1.459561824798584,0.17642781138420105,20015.62109375,0.03799743029578845,-0.006097262936355683,1
207.7530059814453,1.4595649242401123,0.17677956819534302,20015.62109375,0.03800261999854323,-0.006185621820695769,1
208.0540008544922,1.459563970565796,0.17778266966342926,20015.62109375,0.037937353043448946,-0.006167935376217121,1
208.35499572753906,1.4595705270767212,0.17857672274112701,20015.62109375,0.037942308634643804,-0.006025781600889207,1
208.656005859375,1.459558367729187,0.17844705283641815,20015.62109375,0.03803561596283695,-0.006028890974707008,1
