t,Ewe,I,Freq,Re,Im
405.4700012207031,1.461012363433838,0.28067782521247864,20015.62109375,0.04034610135316612,0.0069960560366744955
405.77099609375,1.4596108198165894,0.23560640215873718,20015.62109375,0.04047691994077753,0.007215119694167817
406.0719909667969,1.4596196413040161,0.2060912549495697,20015.62109375,0.04032931427239204,0.00707177209932929
406.3730163574219,1.4596118927001953,0.18382960557937622,20015.62109375,0.04038334785418166,0.006831883129944562
406.67401123046875,1.4596108198165894,0.16689422726631165,20015.62109375,0.040494927684085524,0.006907648122959636
406.9750061035156,1.4596068859100342,0.15410764515399933,20015.62109375,0.04061225944322989,0.006905824353742814
407.2760009765625,1.459615707397461,0.14402855932712555,20015.62109375,0.040625670166324214,0.006910828608039605
407.5769958496094,1.4596117734909058,0.13517092168331146,20015.62109375,0.04063046643726339,0.006882712610053352
407.87799072265625,1.4596084356307983,0.12668703496456146,20015.62109375,0.040679072255871876,0.006980227575247749
408.17901611328125,1.4595959186553955,0.11920512467622757,20015.62109375,0.04076278096150464,0.0067102725421334585
408.4800109863281,1.4596030712127686,0.11276543885469437,20015.62109375,0.040833152953778935,0.006912575761843726
408.781005859375,1.4596190452575684,0.10726290941238403,20015.62109375,0.04080744468119087,0.006847164345051825
409.0820007324219,1.4596116542816162,0.10264796018600464,20015.62109375,0.04110082155345707,0.006972435260042879
409.38299560546875,1.4596095085144043,0.09850513190031052,20015.62109375,0.04098906602427029,0.0069396988404501194
409.6839904785156,1.4596056938171387,0.09468574821949005,20015.62109375,0.04085501084484809,0.006644124033118191
409.9850158691406,1.4596160650253296,0.0915478840470314,20015.62109375,0.04108679774194916,0.006609051518907512
410.2860107421875,1.4596195220947266,0.08883219957351685,20015.62109375,0.041090162293412294,0.006708936016685017
410.5870056152344,1.459609031677246,0.08666166663169861,20015.62109375,0.04093856828660271,0.006812614509664333
410.88800048828125,1.4596102237701416,0.08511900901794434,20015.62109375,0.040809124778220005,0.00700077453823583
411.1889953613281,1.459611177444458,0.08408720791339874,20015.62109375,0.04092615829532443,0.006595811206985718
411.489990234375,1.4596099853515625,0.08302187919616699,20015.62109375,0.040974245852058076,0.006862703257976423
411.791015625,1.4596174955368042,0.08164205402135849,20015.62109375,0.040721351103734246,0.0066254767045013955
412.0920104980469,1.4596116542816162,0.08019702136516571,20015.62109375,0.040706986235812384,0.0067392820780911985
412.39300537109375,1.4596182107925415,0.07880564779043198,20015.62109375,0.040870764941821104,0.0066208933273425065
412.6940002441406,1.459614634513855,0.07766206562519073,20015.62109375,0.04079537243663046,0.006762604115156683
412.9949951171875,1.4596102237701416,0.07663287967443466,20015.62109375,0.04070438986908713,0.006686295246790684
413.2959899902344,1.459609031677246,0.07591520249843597,20015.62109375,0.0408012305632449,0.006655744027261418
413.5970153808594,1.4595955610275269,0.07493520528078079,20015.62109375,0.04088703043195156,0.006905703600075974
413.89801025390625,1.4596078395843506,0.07428348809480667,20015.62109375,0.04077010275461478,0.006717947480364776
414.1990051269531,1.4596068859100342,0.0736410841345787,20015.62109375,0.040840549357000024,0.006850902010706554
414.5,1.4596123695373535,0.07332845032215118,20015.62109375,0.040964878612417994,0.006819943815974937
414.8009948730469,1.4596073627471924,0.07324572652578354,20015.62109375,0.04085286503874531,0.006717329076811235
415.10198974609375,1.459612250328064,0.07363549619913101,20015.62109375,0.04090192587942489,0.006643620438018795
415.40301513671875,1.4596177339553833,0.07394551485776901,20015.62109375,0.040857955419587935,0.006920346877422966
415.7040100097656,1.4596058130264282,0.07352817803621292,20015.62109375,0.04089544604379336,0.006759784499210368
416.0050048828125,1.459611177444458,0.07299868017435074,20015.62109375,0.04078463972871541,0.006615563541417852
416.3059997558594,1.4596068859100342,0.07246843725442886,20015.62109375,0.040846834147811664,0.006768978536828395
416.60699462890625,1.4596010446548462,0.07200861722230911,20015.62109375,0.04082068745231796,0.006635974770806644
416.9079895019531,1.4596091508865356,0.07171089202165604,20015.62109375,0.04075277832212026,0.006763050936205101
417.2090148925781,1.4596043825149536,0.07146980613470078,20015.62109375,0.04084507819365892,0.0069054390830207875
417.510009765625,1.4596043825149536,0.07096229493618011,20015.62109375,0.040962795850751764,0.006821677253172599
417.8110046386719,1.4596110582351685,0.07058817893266678,20015.62109375,0.040894356811992855,0.006704636485511341
418.11199951171875,1.4596025943756104,0.07022225856781006,20015.62109375,0.04077572385380663,0.006622608436511176
418.4129943847656,1.4596022367477417,0.07021704316139221,20015.62109375,0.04084971337500484,0.006583914484870565
418.7140197753906,1.4596083164215088,0.07029455155134201,20015.62109375,0.040847949894892564,0.00674370481128004
419.0150146484375,1.4596036672592163,0.07075772434473038,20015.62109375,0.04075267092374902,0.0065709902280599594
419.3160095214844,1.4596052169799805,0.07133714854717255,20015.62109375,0.04083417130786463,0.006574743583557045
419.61700439453125,1.4596127271652222,0.07144968211650848,20015.62109375,0.04070770124839761,0.006762639897263124
419.9179992675781,1.4596028327941895,0.0710606649518013,20015.62109375,0.04069775947751421,0.0069132579800331205
420.218994140625,1.4595973491668701,0.07064258307218552,20015.62109375,0.04070277080956154,0.006683619999239482
420.52001953125,1.4595930576324463,0.07024163752794266,20015.62109375,0.04079065467791226,0.006758079924119439
420.8210144042969,1.4595931768417358,0.07008513808250427,20015.62109375,0.04082401979226576,0.00672005362495572
421.12200927734375,1.4596025943756104,0.06970878690481186,20015.62109375,0.04070379026775935,0.0066841262514270175
421.4230041503906,1.4596009254455566,0.0695057064294815,20015.62109375,0.04073357338287779,0.0067975018894649766
421.7239990234375,1.4595943689346313,0.06925157457590103,20015.62109375,0.04087252523054028,0.006570013525676956
422.0249938964844,1.4596096277236938,0.06901905685663223,20015.62109375,0.04080596028901475,0.006654433132265935
422.3260192871094,1.4595975875854492,0.06876865774393082,20015.62109375,0.04058088972803334,0.006581153441586818
422.62701416015625,1.459602952003479,0.06903806328773499,20015.62109375,0.040717753897095546,0.006613940517111361
422.9280090332031,1.4595985412597656,0.06949229538440704,20015.62109375,0.04067709487487341,0.0067087384882888595
423.22900390625,1.4596004486083984,0.07006166130304337,20015.62109375,0.040784589365489426,0.006709093739357699
423.5299987792969,1.4596079587936401,0.07050545513629913,20015.62109375,0.04067759395731468,0.006554924550592858
423.83099365234375,1.4596024751663208,0.07015630602836609,20015.62109375,0.04070567658327329,0.006620129643063072
424.13201904296875,1.459607481956482,0.06984106451272964,20015.62109375,0.0407523010741723,0.006626882116045867
424.4330139160156,1.4596003293991089,0.06940248608589172,20015.62109375,0.040647993537831606,0.0067861031021658694
424.7340087890625,1.4595987796783447,0.06906340271234512,20015.62109375,0.04095339683261306,0.00671161900505417
425.0350036621094,1.4596045017242432,0.06885026395320892,20015.62109375,0.04070512159445217,0.006694909866283966
425.33599853515625,1.459607481956482,0.0686006024479866,20015.62109375,0.04075223316034864,0.006727735481872856
425.6369934082031,1.4595998525619507,0.06823580712080002,20015.62109375,0.04081834600730398,0.006903751243394897
425.9380187988281,1.459611177444458,0.06806067377328873,20015.62109375,0.040906811883341374,0.006546601297730893
426.239013671875,1.4596014022827148,0.0679418072104454,20015.62109375,0.04075544656887853,0.006612194441909706
426.5400085449219,1.4595954418182373,0.06807035952806473,20015.62109375,0.04072193199203781,0.0067505546690486895
426.84100341796875,1.459599256515503,0.068411685526371,20015.62109375,0.04073141930798211,0.006837617962233507
427.1419982910156,1.4596062898635864,0.06901495903730392,20015.62109375,0.040811052919066344,0.006720242715966947
427.4429931640625,1.4596012830734253,0.06957799941301346,20015.62109375,0.040707536443193824,0.0066343724010896445
427.7440185546875,1.4596003293991089,0.06944534182548523,20015.62109375,0.04072372628627855,0.006778061765545731
428.0450134277344,1.4595996141433716,0.06905632466077805,20015.62109375,0.04075820374157739,0.006877880990485079
428.34600830078125,1.4596117734909058,0.06873847544193268,20015.62109375,0.04076185751085204,0.006668039459215374
428.6470031738281,1.4596014022827148,0.06833529472351074,20015.62109375,0.04066924651367328,0.006643865070037832
428.947998046875,1.4596107006072998,0.06817767769098282,20015.62109375,0.040713339309829386,0.00676213644034306
429.2489929199219,1.4596055746078491,0.06790155917406082,20015.62109375,0.04050201314680568,0.006692971604906464
429.5500183105469,1.4596060514450073,0.06766606122255325,20015.62109375,0.04071468244675798,0.0067922080299775206
429.85101318359375,1.4596068859100342,0.06744249165058136,20015.62109375,0.040775461964935394,0.0068273623503715105
430.1520080566406,1.459607720375061,0.06715445220470428,20015.62109375,0.041105931473345445,0.0066528291854608505
430.4530029296875,1.4596065282821655,0.06716972589492798,20015.62109375,0.040818501567255736,0.006661293906247811
430.7539978027344,1.4596009254455566,0.06744025647640228,20015.62109375,0.04076764351509618,0.0067806747278369274
431.05499267578125,1.4596002101898193,0.0679134875535965,20015.62109375,0.04082752387899588,0.006712127589237165
431.35601806640625,1.4595974683761597,0.06860097497701645,20015.62109375,0.04074277405534711,0.00672753347854208
431.6570129394531,1.459594488143921,0.0686546340584755,20015.62109375,0.04087338144434676,0.006723488040333475
431.9580078125,1.459592342376709,0.0682767927646637,20015.62109375,0.04081936738736165,0.006540934155865888
432.2590026855469,1.4596061706542969,0.06790081411600113,20015.62109375,0.04082052410963117,0.006666215176520836
432.55999755859375,1.4596061706542969,0.06759712845087051,20015.62109375,0.04074587989324244,0.006693931180431595
432.8609924316406,1.4595993757247925,0.06741975992918015,20015.62109375,0.040957491403355646,0.006718356698856142
433.1620178222656,1.459595799446106,0.06707806140184402,20015.62109375,0.04091394883493248,0.006808687991567459
433.4630126953125,1.4595931768417358,0.06689026206731796,20015.62109375,0.04071607446921762,0.006575337234292753
433.7640075683594,1.459594488143921,0.06665774434804916,20015.62109375,0.04101463184956752,0.006793091775002995
434.06500244140625,1.4596012830734253,0.06641963869333267,20015.62109375,0.04089767818733372,0.006795536564148152
434.3659973144531,1.4595985412597656,0.06634660065174103,20015.62109375,0.040722482896938965,0.006597091458480506
434.6669921875,1.4595935344696045,0.06658508628606796,20015.62109375,0.040826552211506856,0.006538583707210018
434.968017578125,1.4595996141433716,0.06709706783294678,20015.62109375,0.040820445184650715,0.006635925397252807
435.2690124511719,1.4595969915390015,0.06785982847213745,20015.62109375,0.04081250227127143,0.006653951645598833
435.57000732421875,1.459598422050476,0.06812401860952377,20015.62109375,0.040668009380268405,0.0067792297154057385
435.8710021972656,1.4595961570739746,0.06786541640758514,20015.62109375,0.040891610003427316,0.006758857464900534
436.1719970703125,1.4596037864685059,0.0674968957901001,20015.62109375,0.0407051289931694,0.006671519769173018
436.4729919433594,1.4595972299575806,0.06721258163452148,20015.62109375,0.04086977021990389,0.006574051407618731
436.7740173339844,1.459600567817688,0.06701210886240005,20015.62109375,0.04070840387933366,0.006565082393153214
437.07501220703125,1.4596022367477417,0.06669463217258453,20015.62109375,0.040768018064962046,0.006737617995296653
437.3760070800781,1.4596041440963745,0.06656943261623383,20015.62109375,0.04078877697701014,0.006725433451890337
437.677001953125,1.4596009254455566,0.06632871925830841,20015.62109375,0.04093472535537649,0.006819006764095875
437.9779968261719,1.4596034288406372,0.06628437340259552,20015.62109375,0.04084251684527838,0.0065556030546532066
438.27899169921875,1.4595965147018433,0.06593410670757294,20015.62109375,0.04092944252009413,0.006782577838229854
438.58001708984375,1.4595922231674194,0.06616625189781189,20015.62109375,0.04065405204181166,0.0066822894829896735
438.8810119628906,1.4595955610275269,0.06673935055732727,20015.62109375,0.04076814706283187,0.006650761355853922
439.1820068359375,1.4595941305160522,0.06746223568916321,20015.62109375,0.04083849545106404,0.0067734541828187965
439.4830017089844,1.4595991373062134,0.06801744550466537,20015.62109375,0.04091825621037409,0.0065626996037292705
439.78399658203125,1.4595952033996582,0.06778343766927719,20015.62109375,0.04087425057801517,0.006600627743419187
440.0849914550781,1.4595927000045776,0.06757551431655884,20015.62109375,0.040796360687824273,0.006553178269269057
440.3860168457031,1.4595997333526611,0.06727182865142822,20015.62109375,0.04054676285492987,0.006700758788140896
440.68701171875,1.4595979452133179,0.06701024621725082,20015.62109375,0.040756182666103084,0.006584283359981182
440.9880065917969,1.459607720375061,0.06692416965961456,20015.62109375,0.04091459341302973,0.006621626650016895
441.28900146484375,1.4595991373062134,0.06678108125925064,20015.62109375,0.04083103601739065,0.006597030421032075
441.5899963378906,1.4595965147018433,0.06648670881986618,20015.62109375,0.04064285021587375,0.006668262837712951
441.8909912109375,1.4596019983291626,0.06631903350353241,20015.62109375,0.04077390524740216,0.006494859602292275
442.1920166015625,1.4595966339111328,0.06601720303297043,20015.62109375,0.04103748695705391,0.006507455155977496
442.4930114746094,1.4596003293991089,0.06604515016078949,20015.62109375,0.040723940629112,0.0066124939564379
442.79400634765625,1.4595996141433716,0.06636784225702286,20015.62109375,0.040848111838036744,0.006692024346975542
443.0950012207031,1.459594964981079,0.0670609250664711,20015.62109375,0.04078808032202934,0.006711246084693194
443.39599609375,1.4595872163772583,0.06764892488718033,20015.62109375,0.040744579680188374,0.006615969823875736
443.6969909667969,1.4596043825149536,0.06759340316057205,20015.62109375,0.040871665737976404,0.006561561167597472
