time/s,<Ewe>/V,cycle number,<I>/mA,Tech,<Ece>/V
144.60519634696539,1.4915400743484497,0,0.03357405588030815,6,1.4917532205581665
145.11319633413223,1.5013233423233032,0,0.04426288977265358,6,1.5019128322601318
145.62114632130033,1.511748194694519,0,0.05342474207282066,6,1.5120724439620972
146.12914630846717,1.5218521356582642,0,0.06869450956583023,6,1.5222320556640625
146.637146295634,1.5319561958312988,0,0.087018221616745,6,1.5323916673660278
147.14509628280211,1.5412583351135254,0,0.11297681927680969,6,1.5425512790679932
147.65309626996896,1.5524851083755493,0,0.14504331350326538,6,1.5527108907699585
148.16104625713706,1.5624287128448486,0,0.1786368042230606,6,1.5628705024719238
148.6690462443039,1.5722119808197021,0,0.21528422832489014,6,1.5730301141738892
149.17704623147074,1.5829576253890991,0,0.25803956389427185,6,1.5831897258758545
149.68499621863884,1.5927408933639526,0,0.30690279603004456,6,1.5933493375778198
9.999999747378752e-05,1.023695468902588,0,0.010669411160051823,7,1.6000670194625854
0.5080499871655775,1.5906444787979126,0,0.25803956389427185,7,1.5899074077606201
1.016049974332418,1.5798988342285156,0,0.20001445710659027,7,1.5797477960586548
1.5239999615005217,1.5696344375610352,0,0.16336704790592194,7,1.569588303565979
2.0319999486673623,1.5596908330917358,0,0.1358814537525177,7,1.5594286918640137
2.539949935835466,1.5495867729187012,0,0.11297681927680969,7,1.5492690801620483
3.0479499230023066,1.5390015840530396,0,0.09159915149211884,7,1.539109468460083
3.555949910169147,1.5293786525726318,0,0.07174845784902573,7,1.5289498567581177
4.063899897337251,1.5192745923995972,0,0.056478697806596756,7,1.518790364265442
4.5718998845040915,1.5090101957321167,0,0.04120893403887749,7,1.5086307525634766
5.079849871672195,1.498906135559082,0,0.02899312414228916,7,1.4984711408615112
5.587849858839036,1.4886417388916016,0,0.012196388095617294,7,1.488311529159546
6.095799846007139,1.4782168865203857,0,0.007615458685904741,7,1.4781520366668701
6.60379983317398,1.468112826347351,0,0.003034530207514763,7,1.4679924249649048
7.111799820340821,1.4581692218780518,0,-1.942215021699667e-05,7,1.4578328132629395
7.619749807508924,1.447744369506836,0,-0.00460035027936101,7,1.4476732015609741
8.127749794675765,1.4376404285430908,0,-0.009181278757750988,7,1.4375137090682983
8.635699781843869,1.428017497062683,0,-0.007654302753508091,7,1.427354097366333
9.14369976901071,1.4175926446914673,0,-0.00460035027936101,7,1.4171944856643677
9.65169975617755,1.407649040222168,0,-0.009181278757750988,7,1.4070348739624023
10.159649743345653,1.397705316543579,0,-0.010708254761993885,7,1.3968753814697266
10.667649730512494,1.3869597911834717,0,-0.010708254761993885,7,1.3867157697677612
11.175599717680598,1.3770160675048828,0,-0.012235229834914207,7,1.376556158065796
11.683599704847438,1.3664309978485107,0,-0.015289182774722576,7,1.3663965463638306
12.191599692014279,1.356326937675476,0,-0.019870111718773842,7,1.3562369346618652
12.699549679182383,1.3462228775024414,0,-0.010708254761993885,7,1.3460774421691895
13.207549666349223,1.3365999460220337,0,-0.007654302753508091,7,1.3359178304672241
13.715499653517327,1.3258544206619263,0,-0.012235229834914207,7,1.3257582187652588
14.223499640684167,1.3155900239944458,0,-0.012235229834914207,7,1.3155986070632935
14.731449627852271,1.30516517162323,0,-0.015289182774722576,7,1.3054391145706177
15.239449615019112,1.2958630323410034,0,-0.0030733742751181126,7,1.2952795028686523
15.747449602185952,1.285598635673523,0,-0.013762206770479679,7,1.285119891166687
16.255399589354056,1.2754945755004883,0,-0.007654302753508091,7,1.2749602794647217
16.763399576520897,1.2645885944366455,0,-0.010708254761993885,7,1.264800786972046
17.271349563689,1.2551261186599731,0,-0.013762206770479679,7,1.2546411752700806
17.77934955085584,1.2443804740905762,0,-0.012235229834914207,7,1.2444815635681152
18.28734953802268,1.234757661819458,0,-0.015289182774722576,7,1.23432195186615
18.795299525190785,1.224493145942688,0,-0.007654302753508091,7,1.2241624593734741
19.303299512357626,1.2143892049789429,0,-0.0168161578476429,7,1.2140028476715088
19.81124949952573,1.203964352607727,0,-0.009181278757750988,7,1.2038432359695435
20.31924948669257,1.1941810846328735,0,-0.015289182774722576,7,1.1936836242675781
20.82724947385941,1.1840770244598389,0,-0.007654302753508091,7,1.1835241317749023
21.335199461027514,1.173652172088623,0,-0.012235229834914207,7,1.173364520072937
21.843199448194355,1.1633877754211426,0,-0.015289182774722576,7,1.1632049083709717
22.35114943536246,1.1524819135665894,0,-0.009181278757750988,7,1.1530452966690063
22.8591494225293,1.1435004472732544,0,-0.0168161578476429,7,1.142885684967041
23.367099409697403,1.1325945854187012,0,-0.010708254761993885,7,1.1327261924743652
23.875099396864243,1.1229716539382935,0,-0.0168161578476429,7,1.1225665807724
24.383099384031084,1.1120656728744507,0,-0.015289182774722576,7,1.1124069690704346
24.891049371199188,1.1021220684051514,0,-0.0168161578476429,7,1.1022473573684692
25.399049358366028,1.0921783447265625,0,-0.0168161578476429,7,1.0920878648757935
25.906999345534132,1.0820742845535278,0,-0.018343133851885796,7,1.0819282531738281
26.414999332700972,1.0719703435897827,0,-0.012235229834914207,7,1.0717686414718628
26.922999319867813,1.0625077486038208,0,-0.012235229834914207,7,1.0616090297698975
27.430949307035917,1.0517622232437134,0,-0.013762206770479679,7,1.0514495372772217
27.938949294202757,1.0406959056854248,0,-0.010708254761993885,7,1.0412899255752563
28.44689928137086,1.0318748950958252,0,-0.012235229834914207,7,1.031130313873291
28.9548992685377,1.0211293697357178,0,-0.015289182774722576,7,1.0209707021713257
29.462849255705805,1.0113459825515747,0,-0.0168161578476429,7,1.01081120967865
29.970849242872646,1.0010815858840942,0,-0.015289182774722576,7,1.0006515979766846
30.478849230039486,0.9906567931175232,0,-0.0168161578476429,7,0.9904919266700745
30.98679921720759,0.980392336845398,0,-0.0168161578476429,7,0.9803323745727539
31.49479920437443,0.9704486727714539,0,-0.018343133851885796,7,0.9701727628707886
32.002749191542534,0.9608258008956909,0,-0.013762206770479679,7,0.960013210773468
32.510749178709375,0.9499198198318481,0,-0.015289182774722576,7,0.9498535990715027
33.018749165876216,0.9398158192634583,0,-0.015289182774722576,7,0.9396940469741821
33.52669915304432,0.9301928877830505,0,-0.012235229834914207,7,0.9295344352722168
34.03469914021116,0.919126570224762,0,-0.0168161578476429,7,0.9193748831748962
34.54264912737926,0.9093433022499084,0,-0.0168161578476429,7,0.9092152714729309
35.050649114546104,0.8993996381759644,0,-0.013762206770479679,7,0.8990557193756104
35.55859910171421,0.8896163702011108,0,-0.007654302753508091,7,0.888896107673645
36.06659908888105,0.8783896565437317,0,-0.012235229834914207,7,0.8787365555763245
