Sample,Parameter,N,Coverage,Median,Mean,Std,Minimum,Maximum
462,C1,405,1.0,0.024112325357435,0.024684278333148495,0.0033675774572113643,0.0187084937505637,0.0382310249623218
462,C2,18,0.044444444444444446,0.06046549523044495,0.06613861838818075,0.0339433831533097,0.0262347462496874,0.1586137875396659
462,C3,232,0.5728395061728395,1.193918615559011,5.4535396553983855,10.504957345759497,0.1061127949232254,77.01876712628012
462,L0,405,1.0,2.680807833081835e-07,2.714824846461913e-07,3.64293878877678e-08,1.811037205003004e-07,3.995645550877472e-07
462,Q1,405,1.0,0.0340494791837871,0.03776216050713789,0.010919486231595344,0.0257224974781226,0.1072444982860478
462,Q2,18,0.044444444444444446,0.09359383755187275,0.12773347648119246,0.21195940741234431,0.0282454898205004,0.9706042112924732
462,Q3,232,0.5728395061728395,2.0212907537445055,6.685220638773546,11.830940953463282,0.46696394580943,100.0
462,R0,405,1.0,0.0255929388212575,0.026105710501456155,0.0022692281683720345,0.0012448549722388,0.0390794357447721
462,R1,405,1.0,0.1682286171274896,1.596308684166488,3.467853827773701,0.0075522319450136,41.9453002595543
462,R2,18,0.044444444444444446,0.0085993606844393,0.008769810627019576,0.004649234473513144,0.0021054550844342,0.0185624538927006
462,R3,232,0.5728395061728395,0.0086014575643106,0.009662370513036714,0.006740546639501059,0.0004273609121661,0.0394787125525676
462,a1,405,1.0,0.916183908628096,0.9189292012970729,0.029950967104869792,0.8088221094970187,1.0
462,a2,18,0.044444444444444446,0.9935312836347308,0.949639866673047,0.08104984800855415,0.6988657944104956,1.0
462,a3,232,0.5728395061728395,0.850991794177393,0.8809589103522498,0.10125801631417991,0.5761906963672383,1.0
462,tau1,405,1.0,0.003364195194267,0.04359971404559736,0.10374089212873036,0.0002029697226366,1.2263965492653346
462,tau2,18,0.044444444444444446,0.00038108896372719995,0.0006159970824594332,0.0005751821595347939,0.0001330304514592,0.0024408407170755
462,tau3,232,0.5728395061728395,0.0056059751555941496,0.04100229898247543,0.062448867098233656,0.0011479989520676,0.3204552712979973
462,inv_R1,405,1.0,5.944291863507174,22.41790485769923,28.908454759701346,0.023840573170583513,132.41118748481435
465,C1,270,1.0,0.01822198348640095,0.0190473424933674,0.011860101459885431,0.0040909656896626,0.0813353548465549
465,C2,155,0.5740740740740741,0.0125852454172685,0.013776037981524204,0.00485492377786731,0.0062812108219934,0.0437685363394449
465,C3,67,0.24814814814814815,0.474622702827085,2.817890938596894,5.303268612109814,0.0490757922640878,25.84583104032729
465,L0,270,1.0,2.6066724310051165e-07,2.5793037118540175e-07,4.143457268988161e-08,1.564609534038248e-07,3.629171968037643e-07
465,Q1,270,1.0,0.0343436903494213,0.0377182639513599,0.013521934435446838,0.0107753234829745,0.0870109106126437
465,Q2,155,0.5740740740740741,0.1003975511398613,0.11568986131154038,0.0761365934907063,0.0179261002641932,0.5134957076397271
465,Q3,67,0.24814814814814815,0.8970390343470848,3.4351024449060135,5.768214656894362,0.1273378053490304,25.845831040327298
465,R0,270,1.0,0.0403631934263123,0.04103197166406153,0.004234242839618575,0.0324258341455149,0.0574744433325605
465,R1,270,1.0,0.146336451118306,1.0868309577351325,2.013595023458077,0.0162285381175496,15.121951857417573
465,R2,155,0.5740740740740741,0.0552496353280715,0.07722157386715885,0.06136415357322966,0.0121107211540144,0.3000428133270221
465,R3,67,0.24814814814814815,0.0047711118659379,0.0064115131683941656,0.005189309710216783,0.0006525256744215,0.0182734826286292
465,a1,270,1.0,0.8614960220927668,0.8649345806486733,0.0804703576384286,0.696249253646814,1.0
465,a2,155,0.5740740740740741,0.7078123807614566,0.7134589684475008,0.10124839344401472,0.5000000000000001,0.9933309974945054
465,a3,67,0.24814814814814815,0.9287486170674064,0.8971338205864102,0.11722771197603775,0.5000000034569453,1.0
465,tau1,270,1.0,0.0027929510101597,0.039813249361415434,0.1040843781800844,7.764437187851163e-05,0.9790312512703566
465,tau2,155,0.5740740740740741,0.0006573277534647,0.001224025544145614,0.0014554590250304897,0.000112476265391,0.0078576789138748
465,tau3,67,0.24814814814814815,0.0021151200743438,0.004250780912691602,0.005511702634248782,0.0007066675166851,0.0372829310733496
465,inv_R1,270,1.0,6.834538989162715,11.691153567372627,13.747212237534983,0.06612902946847322,61.61984479172504
466,C1,405,1.0,0.0175589963453383,0.020812035577541008,0.011090550359537023,0.0093293769444838,0.0770465465750635
